Organization_Name,Estimated_Revenue_Range,Total_Funding_Amount,Headquarters_Location,Description,Founded_Date,Number_of_Founders,Funding_Status,Funding_Stage,Number_Funding_Rounds,Number_of_Investors,Industries,Industry_Groups,Sector_Size,Number_of_Employees,Downloads_Last_30_Days,Number_of_Apps,Visit_Duration,Bounce_Rate,Monthly_Visits,Monthly_Visits_Growth,Exit_status
Knowledge Economic City,,,Riyadh ,Knowledge Economic City is a project that position entrepreneurs as leaders in knowledge based industries.,2007,,,Series B,,,"Commercial, Project Management, Real Estate",Artificial Intelligence,13000000000,31,,,0,100%,1316,,0
ARICSCOOPER,30000000,,Riyadh ,"ARICSCOOPER engages in technology, consulting, outsourcing and professional services.",1990,,,Series C,,,"Consulting, Information Technology, Outsourcing",Transportation,18000000000,176,,,,,,,1
Salama Cooperative Insurance Co.,300000000,,Al Qasim ,"Salama Cooperative Insurance Co. is an insurance company that deals with motor, medical & other insurance services.",1990,,IPO,Series C,,,"Health Care, Insurance",Real Estate,2500000000,176,,,1248,17%,84122,-53%,1
Motory,,,Riyadh ,"Marketplace, Lead Generation Platform, Content Portal",2020,,,Seed,,,"Advertising, Automotive, Internet, Marketplace",Sales&Marketing,13000000000,6,,,483,51%,896990,-31%,
Pioneers IT,,,Riyadh ,"Pioneers IT engages in the development, implementation, training and support of integrated business management systems.",2009,,,Series B,,,"Consulting, CRM, Enterprise Resource Planning (ERP), Information Technology",Consultancy  ,13000000000,31,,,,,,,0
DHS,,,Ash Sharqiyah,"DHS is a health care center that offers medical services that include cardiology, surgeries, dental, endoscopy, urology, and nutrition aid.",2016,1,,Seed,,,"Health Care, Hospital, Medical",Data Analysis,13000000000,31,,,0,100%,1195,,1
Arabic Marketer Network LLC,,,Riyadh ,"Arabic Marketer Network LLC is a network for e-commerce solutions in the Arabic world, offering simple site building with great results.",2006,1,,Series B,,,E-Commerce,IT,13000000000,31,,,,,,,0
Saudi Industrial Development Co.,75000000,,Jeddah ,"Saudi Industrial Development is an investment company focusing on establishing industries in petrochemicals, foodstuffs, salt, etc.",2003,,IPO,Series B,,,Impact Investing,Sales&Marketing,13000000000,31,,,119,50%,946,,1
Admark Digital Communication,,,Jeddah,"Admark Digital Communication provides digital marketing, graphic design and website development services.",2017,,,Seed,,,"Digital Marketing, Graphic Design, Web Development",EduTech,4760000000,751,,,,,,,
Delta Line International,5500000,,Riyadh ,"Delta Line International is a leading Cyber Security Company over GCC, Since 2006.",2006,,,Series B,,,"Cyber Security, Professional Services",Financial Services,13000000000,76,,,12,50%,166,-60%,0
Aflaksolutions,5500000,,Riyadh ,"Aflaksolutions is an IT company that provides cyber security, physical security, and telecommunications solutions.",2017,,,Seed,,,"Cyber Security, Information Technology, Intelligent Systems, Physical Security",Sales&Marketing,13000000000,31,,,892,0%,394,,
Aldrees Petroleum And Transport Services Co.,5500000000,,Ash Sharqiyah,"ALDREES consists of two main divisions: Petroleum Services & Logistics & Transport Services, which have the power to satisfy client needs.",2008,,IPO,Series B,,,"Logistics, Retail, Supply Chain Management",EduTech,4760000000,76,,,1233,15%,167942,21%,1
The Qassim Cement Co.,300000000,,Riyadh ,The Qassim Cement Co. manufactures and produces cement of various types according to the highest international standard.,2015,,IPO,Series B,,,"Building Material, Manufacturing",Consultancy  ,13000000000,31,,,701,0%,782,,1
TAO Media,,,Jeddah ,All-in-one media freelancing platform,2013,1,,Series B,,,"Marketplace, Media and Entertainment, Software",IT,13000000000,31,,,,,,,0
TecnoShift,5500000,,Ash Sharqiyah,TechnoShift Saudi Arabia is a consulting and training company that promotes personal maturation and progress.,2017,1,,Seed,,,"Consulting, Education, Information Technology, IT Management",IT,13000000000,76,,,,,,,
Shakl,,,Riyadh ,"Shakl is a community of makers, designers, and entrepreneurs utilizing digital manufacturing â€œ3D printingâ€.",2019,,M&A,Seed,,,"3D Printing, 3D Technology, Image Recognition, Manufacturing",Travel&Tourism ,18000000000,6,,,,,,,1
Versos,30000000,,Riyadh ,Versos is a specialized leading solution provider for the needs of business infrastructure management in the Middle East region.,2012,,,Series B,,,"Information Technology, Infrastructure, Management Consulting, Network Security, Professional Services",Sales&Marketing,13000000000,6,,,,,,,0
Rayat Brands,,,Asir Province,Rayat Brands is a digial marketing company.,2017,,,Seed,,,"Digital Marketing, Information Technology",E-Commerce,13000000000,6,,,51,0%,172,,
Umm Al-Qura University,,,Jeddah ,Umm Al-Qura University is a public university & is the most prestigious university in the entire Islamic world due to its unique location.,2017,,,Seed,,,Education,Sales&Marketing,13000000000,6,,,778,20%,1325894,-26%,
ACIG,,,Jeddah ,ACIG specializes in providing insurance services.,2012,,,Series B,,,"Financial Services, Health Insurance, Insurance",Sales&Marketing,13000000000,31,,,775,46%,139521,-49%,0
Telenoc,,,Jeddah ,Telenoc is an IT services and solutions provider company based in Saudi Arabia.,1990,,,Series C,,,"Digital Marketing, Enterprise Software, Software, Web Development",Energy,49500000000,751,,,283,7%,272,1332%,0
Saudi Pioneers for Specialized Services,,,Ash Sharqiyah,"SPS provides full ionizing radiation protection services, also offers comprehensive training courses for both RSO and radiation workers.",2011,,,Series B,,,"Public Safety, Service Industry, Training",Energy,49500000000,176,,,,,,,0
Tahwol Technology,1000000,,Riyadh ,Tahwol Technology is an IT consultancy that offers digital services.,2015,,,Series B,,,"Consulting, Developer Tools, Information Technology, Internet of Things, Robotics",Data Analysis,13000000000,376,,,,,,,0
Waqood Tech,,,Riyadh ,Waqood Tech specializes in the design & development of mobile applications and website solutions.,2008,,,Series B,,,"Information Technology, Mobile Apps, Web Design, Web Development",E-Commerce,13000000000,6,,,,,,,0
Right Group,1000000,,Riyadh ,Right Group is a company that offers industry designed solution modules that are precisely tailored to each and every business need.,2020,,,Seed,,,Information Technology,E-Commerce,13000000000,31,,,,,,,
