Organization_Name,Estimated_Revenue_Range,Total_Funding_Amount,Headquarters_Location,Description,Founded_Date,Number_of_Founders,Funding_Status,Funding_Stage,Number_Funding_Rounds,Number_of_Investors,Industries,Industry_Groups,Sector_Size,Number_of_Employees,Downloads_Last_30_Days,Number_of_Apps,Visit_Duration,Bounce_Rate,Monthly_Visits,Monthly_Visits_Growth,Exit_status
nâ€¢go,,,Ash Sharqiyah,n.go is Saudi Arabia-based ordering platform for takeaways,1997,,,Series C,,,,Travel&Tourism ,18000000000,76,,,,,,,servival
sehaonline,,,Riyadh ,"We provide credible information, supportive communities, and in-depth reference material about health subjects .",2006,,,Series B,,,"Communities, Health Care, Internet, Internet of Things, News, Publishing, Social Media",Real Estate,2500000000,376,,2,91,81%,20563,548%,exited
Al Takaful AlSehi,1000000,,Ash Sharqiyah,"Al Takaful AlSehi is Saudi Arabia based Company providing Medical Services and Health Care to Companies, Individual, charities.",2015,,,Series B,,,"Health Care, Health Insurance, Insurance, Medical",Financial Services,13000000000,376,,,,,,,servival
Saudi Kayan Petrochemical Co.,5500000000,,Riyadh ,Saudi Kayan Petrochemical Co. is a manufacturer of basic and value added petrochemical products.,2020,,IPO,Seed,,,"Manufacturing, Oil and Gas",Transportation,18000000000,6,,,,,,,exited
Saudi Arabian Military Industries,5500000,,Riyadh ,Saudi Arabian Military Industries is a military industry company that provides defense electronics products and solutions.,2020,,,Seed,,,"Information Technology, Manufacturing, Military",IT,13000000000,31,,,709,24%,559382,378%,servival
Fursan Travel,30000000,,Ash Sharqiyah,Fursan Travel is one of the oldest and most famous travel service providers that includes corporate & leisure travel.,2008,,,Series B,,,"Leisure, Tourism, Transportation, Travel",Energy,49500000000,76,,,1078,36%,13495,18%,servival
Alandalus Property Co.,75000000,,Jeddah ,"Alandalus Property Corporation in the field of acquisition, growth, and development of properties generating commercial income.",2007,,IPO,Series B,,,"Commercial, Hospitality, Real Estate",Sales&Marketing,13000000000,176,,,0,100%,327,,exited
Esri Saudi Arabia,30000000,,Riyadh ,"Esri Saudi Arabia providing services in the KSA covering training, support, professional services, and turnkey solutions.",2014,,,Series B,,,"3D Technology, Geospatial, Image Recognition, Information Technology, Mapping Services, Training",Media&Entertainment,49500000000,31,,,0,100%,235,2%,servival
T2,30000000,,Riyadh ,T2 focuses on in research and business development.,2002,,,Series B,,,"Business Development, Information Technology, Small and Medium Businesses",IT,13000000000,31,,,515,54%,2916,238%,servival
Dice Marketing & Advertising,,,Riyadh ,Dice Marketing & Advertising provides digital marketing and advertising services.,2017,,,Seed,,,"Advertising, Digital Marketing",IT,13000000000,6,,,50,34%,506,28%,servival
Gulf Haulage Heavy Lift,,,Jeddah ,Gulf Haulage Heavy Lift provides a heavy transportation and lifting services in Saudi Arabia.,2000,,,Series C,,,"Railroad, Transportation, Warehousing",HealthTech,5400000000,31,,,17,67%,409,,servival
Jabal Omar Development Co.,300000000,,Riyadh ,Jabal Omar is a mega development project for multi-use real estate within walking distance of Makkah 's Grand Mosque.,1990,,IPO,Series C,,,"Property Development, Real Estate",E-Commerce,13000000000,751,,,,,,,exited
Aljabr financing,30000000,,Riyadh ,Aljabr financing is a financial service company.,2008,,,Series B,,,"Customer Service, Finance, Legal, Wealth Management",Real Estate,2500000000,31,,,257,54%,1135,-1%,exited
Sirdab,,,Riyadh ,The most convenient way to store your stuff in Saudi Arabia,1996,,,Series C,,,"Industrial Automation, Logistics, Warehousing",IT,13000000000,76,,,,,,,servival
Al Waffi Co.,,,Riyadh ,"Saudi based Contracting & Trading Co. offer a wide range of activities based on up-to-date knowledge, quality assurance.",2010,,,Series B,,,,IT,13000000000,6,,,,,,,servival
Mt Enterprises,,,Riyadh ,MT-Enterprises are offering calibration services to verify the accuracies of measuring instruments against international standards.,2019,,,Seed,,,"Industrial Automation, Mechanical Engineering",Data Visualization,13000000000,31,,,,,,,servival
ROI-me,5500000,,Riyadh ,ROI-me is a creative marketing solutions firm based in Saudi Arabia.,1990,,,Series C,,,"Advertising, Marketing",Energy,49500000000,176,,,59,0%,804,245%,servival
UMX Studio,5500000,,Riyadh ,UMX Studio is a mobile game developing company that develops a wide variety of fun car games.,2015,1,,Series B,,,"Gaming, Information Technology, Software",Financial Services ,13000000000,76,,,52,0%,84,-64%,servival
Synoptic Information,30000000,,Ash Sharqiyah,"Synoptic Information is an ICT Company that provides advanced infrastructure, networking, business & telecom solutions services.",2018,,,Seed,,,"Information and Communications Technology (ICT), Information Technology, Internet of Things",Financial Services,13000000000,31,,,40,50%,88,,servival
Hawaz,,,Jeddah ,"Hawaz is an IT company that specializes in organizational development with behavioral insights, communication, and digital transformation.",1990,1,,Series C,,,"Information Technology, Marketing, Product Design, Professional Services",E-Commerce,13000000000,31,,,,,,,servival
IDEAL CLINICS,5500000,,Ash Sharqiyah,Ideal Clinics health center in Jeddah provides a variety of beauty and health enhancing procedures,2012,,,Series B,,,"Beauty, Cosmetic Surgery, Health Care",Media&Entertainment,49500000000,6,,,,,,,servival
Richy Group,,,Jeddah ,"Richy Group is a retail and fashion brand that offers variety of clothing and accessories for men, women and kids.",2017,,,Seed,,,"Consumer Goods, Fashion, Retail, Shopping, Sporting Goods",Artificial Intelligence,13000000000,176,,,567,40%,2364,-4%,servival
Al Kathiri Holding Co.,30000000,,Riyadh ,"Al Kathiri Holding Co. is a construction material manufacturing company producing concrete, cement, mortars, aggregates, and other products.",2018,,IPO,Seed,,,"Building Material, Manufacturing",Artificial Intelligence,13000000000,6,,,,,,,exited
Aflak Electronics,,,Jeddah ,"Aflak Electronics is a multi-brand seller & Distributor of Retail, Access Control & office furniture products, and service in Saudi Arabia.",2006,,,Series B,,,Electronics,Travel&Tourism ,18000000000,76,,,425,33%,1807,-75%,servival
Intelligent Technologies Labs,5500000,,Riyadh ,Intelligent Technologies Labs is an information and technology company that provides SMB solutions & services.,1999,,,Series C,,,"Cloud Computing, Cyber Security, Information Technology, Management Consulting",Real Estate,2500000000,76,,,,,,,servival
TAHAWWUL,,,Ash Sharqiyah ,"Artificial Intelligence , Computer vision , Retail Technology",2019,,,Seed,,,"Artificial Intelligence, Computer Vision, Machine Learning, Retail Technology, Smart Cities",HealthTech,5400000000,31,,,,,,,servival
SWCC,300000000,,Riyadh ,SWCC is a Saudi Government Corporation responsible for the desalination of seawater & supplying various regions of Saudi Arabia.,1980,,,Series C,,,"Industrial Engineering, Mechanical Engineering, Water",Insurtech,13000000000,376,,,400,16%,177666,-11%,exited
Bayan Credit Bureau,30000000,,Riyadh ,"Bayan Credit Bureau provides achieving credit, financial, and trade goals services.",1993,,,Series C,,,"Credit Bureau, Financial Services, Wealth Management",Energy,49500000000,376,,,0,100%,635,-90%,exited
Digital Pay,,,Riyadh ,"Digital Pay is a finTech company that provides digital payment solutions using digital banking, QR, NFC, and POS payment solutions.",2012,,,Series B,,,"Financial Services, FinTech, Payments, Transaction Processing",IT,13000000000,6,,,1,0%,512,,servival
Ibrahim Al-Qurashi,,,Jeddah,"Ibrahim Al-Qurashi is an online store that sells oud, wood, perfumes for men and women.",2018,,,Seed,,,"Consumer Goods, E-Commerce, Shopping",HealthTech,5400000000,6,,,,,,,servival
Hako Games,5500000,,Jeddah,HakoGames is a gaming application developing firm which comprises of three developers. They develop applications specifically for iOS,2021,,,Seed,,,"Gaming, iOS",Business Intelligence,13000000000,6,,4,,,,,servival
TechnoVal,,,Riyadh,"TechnoVal specializes in providing ERP software solution development, information management and application management services systems.",1990,,,Series C,,,"Enterprise Resource Planning (ERP), Information Technology, Intelligent Systems, Management Information Systems, Software",Energy,49500000000,751,,,0,100%,172,9%,exited
Palm Bot,,,Riyadh ,Palm Bot provides an entertaining educational STEM robot designed to teach logic and programming to kids in Arabic,1990,,,Series C,,,"Hardware, Natural Language Processing, Robotics, STEM Education",Media&Entertainment,49500000000,76,,,,,,,exited
Autorent Car Rental,5500000,,Jeddah ,A Dubai Based Rent a car Company,2017,,,Seed,,,Automotive,Financial Services,13000000000,31,,,298,15%,6694,220%,servival
ArchiSite,30000000,,Riyadh ,"ArchiSite is a construction company, that specialized in construction & engineering, interior, building designing and IT projects.",2012,,,Series B,,,"Architecture, Building Material, Construction, Interior Design, IT Management",E-Commerce,13000000000,6,,,,,,,servival
Beuti,,,Riyadh ,Beuti provides a platform for all beauty and health services.,2007,1,,Series B,,,"Beauty, Health Care",Financial Services,13000000000,376,,,,,,,servival
The Mediterranean And Gulf Insurance And Reinsurance Co.,750000000,,Jeddah,The Mediterranean And Gulf Insurance And Reinsurance Co.is an insurance company that provides cooperative Health & other insurance services.,2004,,IPO,Series B,,,"Auto Insurance, Commercial Insurance, Financial Services, Health Care, Health Insurance, Insurance, Property Insurance",Sales&Marketing,13000000000,31,,,,,,,exited
Middle East Specialized Cables Co.,300000000,,Jeddah,Middle East Specialized Cables Co. is a provider and manufacturer of cables and wires delivering total and complete solutions.,2016,,IPO,Seed,,,"Industrial, Industrial Manufacturing, Manufacturing",Travel&Tourism ,18000000000,31,,,1,0%,225,-77%,exited
Rasa Communication,30000000,,Ash Sharqiyah,"RASA Communication provides IT solutions, products, services and consultancy.",2002,,,Series B,,,"Cloud Computing, Cyber Security, Information Technology, Telecommunications",Sales&Marketing,13000000000,31,,,,,,,servival
BndrGene,,,Riyadh ,BndrGene is a unique independent medical laboratory center performing routine and specialized medical and scientific tests,2017,1,,Seed,,,"Biotechnology, Genetics, Health Care, Life Science",Media&Entertainment,49500000000,6,,,0,100%,1337,102%,servival
The Future Line,,,Riyadh ,"Data Analytics, Competitive Intelligence, Big Data Consulting, Machine Learning, Customers satisfaction Improvement Services",2017,,,Seed,,,"Analytics, Artificial Intelligence, Big Data, Business Intelligence, Machine Learning",Sales&Marketing,13000000000,31,,,,,,,servival
Saudi Chemical Co.,750000000,,Jeddah,Saudi Chemical Co. is involved in the manufacture of explosives for civil and military use in the Kingdom of Saudi Arabia.,1998,,IPO,Series C,,,"Manufacturing, Military",Energy,49500000000,751,,,803,81%,14080,123%,exited
Saudi Printing And Packaging Co.,300000000,,Riyadh ,Saudi Printing & Packaging Company is a Saudi shareholder with a focus on both the publishing and packaging industries.,2017,,IPO,Seed,,,"Packaging Services, Publishing",IT,13000000000,176,,,10,36%,292,-21%,exited
Exsab Investment,5500000,,Jeddah ,Exsab Investment is a private equity firm.,2010,,,Series B,,,"Angel Investment, Finance, Financial Services",Sales&Marketing,13000000000,31,,,,,,,servival
RQMNH,,,Ash Sharqiyah,"RQMNH offers e-commerce services like developing electronic stores, web development, online payment gateways and e-marketing strategies.",2021,,,Seed,,,"E-Commerce, Mobile Payments, Web Development",HealthTech,5400000000,6,,,17,0%,538,,servival
HSBC Saudi Arabia,,,Jeddah ,HSBC Saudi Arabia experts provide a wide range of investment banking products and services with financial solutions.,1991,,,Series C,,,"Banking, Financial Services",E-Commerce,13000000000,176,,,685,26%,66229,-64%,servival
Taqniaty,,,Ash Sharqiyah,"Taqniaty. is a web design/hosting and digital marketing company in Makkah, Saudi Arabia",1991,1,,Series C,,,"Digital Marketing, Web Design, Web Development, Web Hosting",Travel&Tourism ,18000000000,176,,,,,,,exited
MyHotels,,,Riyadh ,MyHotels OTA is a Saudi licensed Travel Agency by the Ministry of Tourism and an Approved Umrah OTA by the Ministry of Hajj and Umrah.,2017,,,Seed,,,"Leisure, Tour Operator, Tourism, Travel, Travel Agency",Sales&Marketing,13000000000,6,,,1403,0%,1674,-96%,servival
Kanoo Elite,5500000,,Riyadh ,Kanoo Elite is a digital transformation services provider company.,2004,,,Series B,,,"Digital Media, Information Technology, Intelligent Systems, Service Industry",Artificial Intelligence,13000000000,751,,,,,,,servival
Edintity,5500000,,Jeddah,Gamifying Topical Social Content,2006,2,,Series B,,,"Content, Gamification, Social",Real Estate,2500000000,176,,,,,,,servival
Ability Communication,,,Riyadh ,Ability Communication provides digital marketing and event management services.,2006,,,Series B,,,"Digital Marketing, Event Management",Consultancy  ,13000000000,31,,,435,0%,172,-59%,servival
SAMREF,1000000,,Jeddah ,Samref's mission is to timely supply the highest value products at a competitive cost througha competent and optimized work force.,1980,,,Series C,,,Manufacturing,HealthTech,5400000000,176,,,144,31%,7058,6%,exited
Hudoud Alteqnia,5500000,,Jeddah ,Hudoud Alteqnia is a saudi technology systems integration firm.,2014,,,Series B,,,Information Technology,Sales&Marketing,13000000000,31,,,,,,,servival
CREACT,,,Jeddah ,CREACT is a 360Â° brand activation solutions provider company.,2011,1,,Series B,,,"Advertising, Marketing",Consultancy  ,13000000000,31,,,,,,,servival
ÙÙŠ Ø³ØªÙˆØ±Ùˆ,,,Jeddah,vstoro is a eCommerce Platform online store,2001,1,,Series B,,,"Beauty, E-Commerce, Shopping",HealthTech,5400000000,376,,,,,,,servival
Toy Triangle,75000000,,Riyadh ,Toy Triangle develops and distributes toy and game products.,2010,,,Series B,,,"Consumer Goods, Retail, Toys",E-Commerce,13000000000,31,,,1451,40%,4320,97%,servival
Tourism Enterprise,,,Jeddah ,Tourism Enterprise is a luxury tourism firm present in the hospitality sector.,1999,,IPO,Series C,,,"Adventure Travel, Hospitality, Tourism, Travel",Financial Services,13000000000,376,,,6,35%,321,,exited
Memco International,,,Riyadh ,"Memco International is a marketing company that specializes in exhibitions, events and advertising.",2006,,,Series B,,,"Advertising, Events, Marketing",Sales&Marketing,13000000000,6,,,,,,,servival
Unicom Group,,,Jeddah ,"Unicom Group offers integrated technological solutions, mobile computing, telecommunication and supply chain management solutions.",2006,,,Series B,,,"Information Technology, Intelligent Systems, Supply Chain Management, Telecommunications",IT,13000000000,6,,,344,65%,897,-75%,servival
Knowledge Economic City,,,Riyadh ,Knowledge Economic City is a project that position entrepreneurs as leaders in knowledge based industries.,2007,,,Series B,,,"Commercial, Project Management, Real Estate",Artificial Intelligence,13000000000,31,,,0,100%,1316,,servival
ARICSCOOPER,30000000,,Riyadh ,"ARICSCOOPER engages in technology, consulting, outsourcing and professional services.",1990,,,Series C,,,"Consulting, Information Technology, Outsourcing",Transportation,18000000000,176,,,,,,,exited
Salama Cooperative Insurance Co.,300000000,,Al Qasim ,"Salama Cooperative Insurance Co. is an insurance company that deals with motor, medical & other insurance services.",1990,,IPO,Series C,,,"Health Care, Insurance",Real Estate,2500000000,176,,,1248,17%,84122,-53%,exited
Motory,,,Riyadh ,"Marketplace, Lead Generation Platform, Content Portal",2020,,,Seed,,,"Advertising, Automotive, Internet, Marketplace",Sales&Marketing,13000000000,6,,,483,51%,896990,-31%,servival
Pioneers IT,,,Riyadh ,"Pioneers IT engages in the development, implementation, training and support of integrated business management systems.",2009,,,Series B,,,"Consulting, CRM, Enterprise Resource Planning (ERP), Information Technology",Consultancy  ,13000000000,31,,,,,,,servival
DHS,,,Ash Sharqiyah,"DHS is a health care center that offers medical services that include cardiology, surgeries, dental, endoscopy, urology, and nutrition aid.",2016,1,,Seed,,,"Health Care, Hospital, Medical",Data Analysis,13000000000,31,,,0,100%,1195,,exited
Arabic Marketer Network LLC,,,Riyadh ,"Arabic Marketer Network LLC is a network for e-commerce solutions in the Arabic world, offering simple site building with great results.",2006,1,,Series B,,,E-Commerce,IT,13000000000,31,,,,,,,servival
Saudi Industrial Development Co.,75000000,,Jeddah ,"Saudi Industrial Development is an investment company focusing on establishing industries in petrochemicals, foodstuffs, salt, etc.",2003,,IPO,Series B,,,Impact Investing,Sales&Marketing,13000000000,31,,,119,50%,946,,exited
Admark Digital Communication,,,Jeddah,"Admark Digital Communication provides digital marketing, graphic design and website development services.",2017,,,Seed,,,"Digital Marketing, Graphic Design, Web Development",EduTech,4760000000,751,,,,,,,servival
Delta Line International,5500000,,Riyadh ,"Delta Line International is a leading Cyber Security Company over GCC, Since 2006.",2006,,,Series B,,,"Cyber Security, Professional Services",Financial Services,13000000000,76,,,12,50%,166,-60%,servival
Aflaksolutions,5500000,,Riyadh ,"Aflaksolutions is an IT company that provides cyber security, physical security, and telecommunications solutions.",2017,,,Seed,,,"Cyber Security, Information Technology, Intelligent Systems, Physical Security",Sales&Marketing,13000000000,31,,,892,0%,394,,servival
Aldrees Petroleum And Transport Services Co.,5500000000,,Ash Sharqiyah,"ALDREES consists of two main divisions: Petroleum Services & Logistics & Transport Services, which have the power to satisfy client needs.",2008,,IPO,Series B,,,"Logistics, Retail, Supply Chain Management",EduTech,4760000000,76,,,1233,15%,167942,21%,exited
The Qassim Cement Co.,300000000,,Riyadh ,The Qassim Cement Co. manufactures and produces cement of various types according to the highest international standard.,2015,,IPO,Series B,,,"Building Material, Manufacturing",Consultancy  ,13000000000,31,,,701,0%,782,,exited
TAO Media,,,Jeddah ,All-in-one media freelancing platform,2013,1,,Series B,,,"Marketplace, Media and Entertainment, Software",IT,13000000000,31,,,,,,,servival
TecnoShift,5500000,,Ash Sharqiyah,TechnoShift Saudi Arabia is a consulting and training company that promotes personal maturation and progress.,2017,1,,Seed,,,"Consulting, Education, Information Technology, IT Management",IT,13000000000,76,,,,,,,servival
Shakl,,,Riyadh ,"Shakl is a community of makers, designers, and entrepreneurs utilizing digital manufacturing â€œ3D printingâ€.",2019,,M&A,Seed,,,"3D Printing, 3D Technology, Image Recognition, Manufacturing",Travel&Tourism ,18000000000,6,,,,,,,exited
Versos,30000000,,Riyadh ,Versos is a specialized leading solution provider for the needs of business infrastructure management in the Middle East region.,2012,,,Series B,,,"Information Technology, Infrastructure, Management Consulting, Network Security, Professional Services",Sales&Marketing,13000000000,6,,,,,,,servival
Rayat Brands,,,Asir Province,Rayat Brands is a digial marketing company.,2017,,,Seed,,,"Digital Marketing, Information Technology",E-Commerce,13000000000,6,,,51,0%,172,,servival
Umm Al-Qura University,,,Jeddah ,Umm Al-Qura University is a public university & is the most prestigious university in the entire Islamic world due to its unique location.,2017,,,Seed,,,Education,Sales&Marketing,13000000000,6,,,778,20%,1325894,-26%,servival
ACIG,,,Jeddah ,ACIG specializes in providing insurance services.,2012,,,Series B,,,"Financial Services, Health Insurance, Insurance",Sales&Marketing,13000000000,31,,,775,46%,139521,-49%,servival
Telenoc,,,Jeddah ,Telenoc is an IT services and solutions provider company based in Saudi Arabia.,1990,,,Series C,,,"Digital Marketing, Enterprise Software, Software, Web Development",Energy,49500000000,751,,,283,7%,272,1332%,servival
Saudi Pioneers for Specialized Services,,,Ash Sharqiyah,"SPS provides full ionizing radiation protection services, also offers comprehensive training courses for both RSO and radiation workers.",2011,,,Series B,,,"Public Safety, Service Industry, Training",Energy,49500000000,176,,,,,,,servival
Tahwol Technology,1000000,,Riyadh ,Tahwol Technology is an IT consultancy that offers digital services.,2015,,,Series B,,,"Consulting, Developer Tools, Information Technology, Internet of Things, Robotics",Data Analysis,13000000000,376,,,,,,,servival
Waqood Tech,,,Riyadh ,Waqood Tech specializes in the design & development of mobile applications and website solutions.,2008,,,Series B,,,"Information Technology, Mobile Apps, Web Design, Web Development",E-Commerce,13000000000,6,,,,,,,servival
Right Group,1000000,,Riyadh ,Right Group is a company that offers industry designed solution modules that are precisely tailored to each and every business need.,2020,,,Seed,,,Information Technology,E-Commerce,13000000000,31,,,,,,,servival
URent,,,Riyadh ,A peer-to-peer vehicle sharing platform,1998,,Seed,Series C,1,,"Car Sharing, Marketplace, Peer to Peer, Recreational Vehicles, Transportation",IT,13000000000,176,,,,,,,servival
Open Software Information Technology,,,Riyadh ,"Open Software Information Technology provides ERP and POS solutions, web services, web hosting, and digital marketing services.",1999,,,Series C,,,"Digital Marketing, Enterprise Resource Planning (ERP), Software, Web Development",Financial Services,13000000000,376,,,2,50%,144,-13%,servival
FOEZY,,,Riyadh ,"FOEZY is an eCommerce, B2B marketplace serving that provides wholesale groceries and restaurant supplies for businesses and you.",1997,,,Series C,,,"B2B, E-Commerce, Internet",Sales&Marketing,13000000000,31,,,,,,,servival
Bullet,,,Riyadh ,"Bullet is a company specialize in Branding, Design, Printing and Advertising",2017,,,Seed,,,"Advertising, Brand Marketing, Interior Design, Printing",IT,13000000000,6,,,,,,,servival
Chess Tag,,,Riyadh ,Chess Tag is a digital marketing agency.,2013,1,,Series B,,,"Advertising, Digital Marketing, Web Design",Sales&Marketing,13000000000,31,,,0,100%,431,,servival
Neproplast,75000000,,Jeddah ,Neproplast serves the community by manufacturing PVC and CPVC pipes and fittings.,2010,,,Series B,,,"Industrial, Industrial Manufacturing, Manufacturing",EduTech,4760000000,751,,,52,0%,565,,servival
Petrochemical Conversion Company,300000000,,Riyadh ,"Petrochemical Conversion Company provides molded plastic products in contract manufacturing services to regional, and international OEMs.",2006,,,Series B,,,"Industrial Manufacturing, Manufacturing, Plastics and Rubber Manufacturing",IT,13000000000,31,,,0,100%,1141,313%,servival
CompTechCo,30000000,,Ash Sharqiyah,"CompTechco is an IT company with expertise in implementing Information Governance Projects, case management, and content analytics.",1992,,,Series C,,,"Document Management, Information Technology, Software, Text Analytics",IT,13000000000,176,,,157,49%,2239,17%,servival
Streetkings.com,,,Ash Sharqiyah,Unite all the luxury automobile owners,2009,5,,Series B,,,"Automotive, Communities, Online Portals",Consultancy  ,13000000000,31,,,,,,,servival
SmSm,,,Riyadh ,SmSm combine superior experience with quality products at competitive prices to provide the ultimate value for consumers.,2014,1,,Series B,,,"E-Commerce, Text Analytics",Financial Services,13000000000,176,,,,,,,servival
DataServe,30000000,,Riyadh ,DataServe is an IT company specialized in project management and digital solutions for semi-government & government sectors.,2014,,,Series B,,,"Information Technology, Project Management, Training",Transportation,18000000000,31,,,,,,,servival
Saudi Fransi Capital,,,Ash Sharqiyah ,"Saudi Fransi Capital is a financial services provider offering asset management, institutional sales and trading, and investment banking.",1991,,,Series C,,,"Asset Management, Banking, Financial Services",IT,13000000000,76,,,,,,,servival
Dakkin,,,Riyadh ,Dakkin provides digital marketing and advertising services.,2015,,,Series B,,,"Advertising, Digital Marketing, Social Media Marketing",Artificial Intelligence,13000000000,6,,,,,,,servival
Cloudwings co.,5500000,,Riyadh ,Web design company and app developer for business sector.,2012,,,Series B,,,"Mobile, Mobile Apps",IT,13000000000,6,,,0,100%,34,,servival
XELEMENT,,,Riyadh ,"More than a traditional communications agency, XELEMENT operates as a consultancy, working closely with marketing teams.",2011,,,Series B,,,"Advertising, Consulting, Marketing",E-Commerce,13000000000,6,,,0,100%,421,49%,servival
Waad Holding Company,,,Riyadh ,"Waad Holding is a company that focuses on the overall betterment of Saudi society, with areas of emphasis on education and investment.",2015,,,Series B,,,Education,Real Estate,2500000000,176,,,74,50%,218,,servival
e-sealed,5500000,,Riyadh ,"e-Sealed is a software and hardware development house in the area of information security established in 2006, and is located at Riyadh.",2008,,,Series B,,,"Cyber Security, Information Technology, Professional Services, Software, Web Development",IT,13000000000,31,"5,515",16,74,0%,106,,servival
Ultra Computer Services,300000000,,Riyadh ,UCS is a tech consulting firm for the integration of security systems.,2015,,,Series B,,,"Information Technology, Network Security, Software",IT,13000000000,31,,,,,,,servival
VoiceTech Solutions,,,Ash Sharqiyah,"VoiceTech Solutions provides outsourcing, technical support and IT consulting services.",2006,,,Series B,,,"Consulting, Information Technology, Outsourcing, Technical Support",EduTech,4760000000,376,,,,,,,servival
Dussur,5500000,,Ash Sharqiyah,Dussur is an investment and development company that focuses on strategic industrial businesses.,2008,,,Series B,,,"Business Development, Financial Services, Impact Investing",Sales&Marketing,13000000000,6,,,18,67%,500,11%,servival
360 MENA,,,Riyadh ,Procurement and BPO services and solutions!,2017,,,Seed,,,"Procurement, Supply Chain Management",IT,13000000000,31,,,,,,,servival
Gulf Axis,,,Riyadh ,Gulf Axis Spectrum is a Consulting and Digital services company offering a wide range of expertise related to information management needs.,2013,,,Series B,,,"Information Services, Information Technology",Sales&Marketing,13000000000,176,,,,,,,servival
FWRDTECH,,,Riyadh ,"FWRDTECH is a leading provider of ICT services such as Communications, Information security and Cloud services; based in Riyadh, KSA.",2017,,,Seed,,,"Information Services, Information Technology, Management Consulting, Predictive Analytics",Consultancy  ,13000000000,31,,,,,,,servival
ITechnologies,,,Jeddah ,ITechnologies provides information technology and services.,2020,,,Seed,,,"Information Services, Information Technology",E-Commerce,13000000000,6,,,,,,,servival
Ertekaz,,,Riyadh ,Ertekaz provides e-commerce solutions.,2013,,,Series B,,,"E-Commerce, Information Technology",Sales&Marketing,13000000000,31,,,51,0%,28,,servival
Kaden Investment,30000000,,Jeddah ,Kaden Investment aims to achieve this goal by developing new lifestyle ideas that promote people-centered settings & empathy-driven service.,1997,,,Series C,,,Real Estate,Real Estate,2500000000,751,,,,,,,servival
UniKomm,5500000,,Riyadh ,UniKomm is an information technology & services company that provides IT infrastructure management services.,2015,,,Series B,,,"Information Technology, IT Infrastructure, Software",Financial Services,13000000000,376,,,1929,61%,1393,-8%,servival
Secure Net,,,Riyadh ,"Secure Net provides IT service management, IT infrastructure, IT consultation, managed services, and outsourcing services.",2010,,,Series B,,,"Information Technology, IT Management, Professional Services",E-Commerce,13000000000,176,,,,,,,servival
Dolf Technologies,5500000,,Riyadh ,"Citra Alam is an IT company that offers augmented reality, virtual reality, multimedia, and E-Learning solutions for various clients.",2014,,,Series B,,,"Augmented Reality, E-Learning, Education, Technical Support, Virtual Reality",Financial Services,13000000000,31,,,0,100%,808,,servival
GMedia Advertising,,,Ash Sharqiyah ,GMedia Advertising is a communications agency specializing in creative advertising solutions.,2002,,,Series B,,,"Advertising, Creative Agency, Marketing",IT,13000000000,176,,,,,,,servival
Prestige Saudi,,,Riyadh ,Prestige Saudi is a software development company.,1996,,,Series C,,,"Information Technology, Intelligent Systems, Software",Financial Services,13000000000,176,,,,,,,servival
KAPSARC,5500000,,Jeddah ,KAPSARC is a non-profit institution that develops economic frameworks to help attain effective energy policy for the welfare of societies.,2009,,,Series B,,,"Advice, Chemical, Market Research",IT,13000000000,31,,,308,78%,12230,76%,servival
PanExcel,30000000,,Ash Sharqiyah,PanExcel is an ITC consultancy and solutions company.,1989,,,Series C,,,"Consulting, Information and Communications Technology (ICT), Information Technology",Energy,49500000000,751,,,,,,,exited
Jidariyah,,,Jeddah ,The first Art based e-commerce platform in the Middle East.,2017,,,Seed,,,E-Commerce,Real Estate,2500000000,6,,,,,,,servival
Circle Creative,,,Riyadh ,Circle Creative creates a brand tailored kit with communication tools and channels.,1993,,,Series C,,,"Advertising, Marketing",Artificial Intelligence,13000000000,176,,,,,,,servival
Diyar Consultants,300000000,,Jeddah ,Diyar Consultants is a provider of architectural design services.,2013,,,Series B,,,"Architecture, Consulting, Industrial Design",IT,13000000000,6,,,100,22%,1239,-10%,servival
Ersal,1000000,,Riyadh ,Ersal is a remittance company that offers multiple options to customers to transfer money to different countries.,2007,,,Series B,,,"Banking, Financial Exchanges, Financial Services",Sales&Marketing,13000000000,31,,,108,68%,13144,35%,servival
FX-arabia,5500000,,Jeddah ,fx arabia the bigest in the arab,2015,,,Series B,,,E-Commerce,IT,13000000000,6,,,95,89%,1605,48%,servival
AlRaedah Finance,5500000,,Riyadh ,"AlRaedah Finance provides e-commerce financing, point of sale financing, and financial solution for small and medium-sized enterprises.",2008,,,Series B,,,"Finance, Financial Services, Lending",Sales&Marketing,13000000000,31,,,,,,,servival
Pan Gulf Industrial Systems,1000000,,Riyadh ,"PGI Systems is in the business of providing our clients with confidence. A wholly owned subsidiary of Pan Gulf Holdings, PGI Systems was",2013,,,Series B,,,Security,IT,13000000000,6,,,,,,,servival
Rakaa Holding,5500000,,Riyadh ,Rakaa Holding provides strategic advice and a roadmap to new partners.,2000,,,Series C,,,"Advice, Consulting, Finance, Financial Services",Artificial Intelligence,13000000000,176,,,,,,,servival
Al Fuzail,5500000,,Riyadh ,Al Fuzail provides information technology services and solutions.,2016,,,Seed,,,"Cloud Data Services, Information Technology, Professional Services",E-Commerce,13000000000,76,,,,,,,servival
